rho,S_x1,S_x2,S_xy1,S_xy2,Fx2_per_V,Fy2_per_V,Fz2_per_V,Fx_per_sqrtV,Fy_per_sqrtV,Fz_per_sqrtV
7.544901168190155660e-01,4.011545332700755528e-01,3.535029585163710908e-01,3.345407998538496019e-01,3.191521569617891130e-01,3.336884469696971833e-01,3.333037405303033718e-01,3.894708806818146241e-01,5.031932242469421002e-02,-2.889961085202232775e-03,4.742936133949160471e-02
7.537391552838965669e-01,2.924120237439277736e-01,4.368815515397456162e-01,3.248092417335187720e-01,3.845644033001149320e-01,3.275035511363610374e-01,4.207504734848475092e-01,5.514914772727231851e-01,1.769676170409005822e-01,5.439926748616078292e-03,4.287342268752617480e-01
7.541845690896569199e-01,3.934108714378488636e-01,3.075302577421986094e-01,3.953004934304131801e-01,3.331528707866787675e-01,4.127900094696953515e-01,6.081912878787857357e-01,3.785807291666666297e-01,-6.646910495964608590e-02,-6.799908435764056690e-04,1.684677314961884609e-01
7.539911153111680253e-01,2.554853066934409389e-01,3.515765676329175582e-01,4.246148940607966660e-01,3.877100389763822874e-01,4.418797348484812537e-01,3.068477746212107116e-01,3.208451704545448591e-01,-3.909947350567410246e-02,1.648977795674098218e-02,-3.076958567185668625e-01
7.538902715168267488e-01,3.692759770601878322e-01,3.644570831400217870e-01,3.655064626096909963e-01,3.662099326991936077e-01,3.618607954545440819e-01,2.794448390151526573e-01,3.244850852272733177e-01,3.389754355231056060e-01,-1.988973217462550527e-02,-1.528279420939194222e-01
7.538448089277779429e-01,3.942698979752988220e-01,3.182352224008930808e-01,4.072916184478734269e-01,4.261342468340035272e-01,3.532788825757562368e-01,2.992128314393938671e-01,3.117897727272721520e-01,8.159890122923292577e-02,2.286469211527488721e-01,5.575924917330946085e-02
7.536546704128083141e-01,3.761456782711625202e-01,3.652382720030205587e-01,4.113652185167374631e-01,3.496110526844918853e-01,3.145714962121194391e-01,4.110144412878802833e-01,2.383108428030327186e-01,-1.529979398048131600e-01,1.317482259430332592e-01,-7.938893098760835265e-02
7.539483973255264315e-01,3.849260985534991852e-01,3.390579265911285445e-01,3.359791504917426508e-01,3.947655194280207391e-01,2.750946969696980715e-01,4.396898674242420424e-01,2.829959753787860133e-01,-1.584378665534287578e-01,-2.988559757520668492e-01,-1.648977795674109667e-02
7.540296484559769752e-01,2.885178176750662904e-01,4.463316840021412379e-01,3.996995878729849849e-01,3.585247571537524824e-01,4.240648674242398775e-01,4.692234848484825305e-01,4.112511837121201053e-01,-1.672777475199288821e-01,-1.363381641371774200e-01,-3.229956506990483422e-03
7.538042920597173291e-01,3.795128928135102497e-01,3.209678995823672110e-01,3.531000716485825919e-01,3.186149499216199277e-01,2.338127367424257252e-01,3.619199810606068546e-01,3.599372632575717490e-01,5.762922399314578115e-02,-3.100758246710872967e-01,-4.878934302664642009e-02
7.534355369292080606e-01,3.686659102722413817e-01,4.315245650217730544e-01,3.551941360972127870e-01,2.718501706208029667e-01,3.438979640151492156e-01,2.287523674242432359e-01,3.188624526515146940e-01,-3.994946206014503287e-02,7.241902484094472903e-02,5.286928808810750779e-02
7.542191347879597663e-01,3.761181294960307397e-01,4.626812268315609322e-01,3.876217973437057207e-01,3.623085500361210021e-01,4.762665719696938527e-01,2.940932765151507144e-01,3.432765151515143054e-01,1.856375002965062471e-01,4.861934531575138468e-02,2.369768089865665894e-01
7.542275316439158717e-01,3.069050739019920648e-01,4.142877841053354548e-01,3.686215962948489744e-01,3.630647003106380888e-01,4.440991950757521289e-01,5.166311553030210613e-01,2.988873106060606077e-01,-9.349874099182796730e-03,-1.778176055953711310e-01,-1.597978482405792641e-02
7.544737578957629864e-01,3.532030772460401646e-01,3.864314400963410057e-01,3.684379677453349378e-01,3.984072447921998550e-01,6.538825757575774666e-01,3.489879261363594831e-01,3.019945549242430971e-01,2.097771752434887393e-01,-2.980059871975968555e-01,2.228669989823446052e-01
7.539762237996352479e-01,4.217054101693838430e-01,3.310750530617072585e-01,3.142420812848503719e-01,4.141740626117959012e-01,2.832919034090896626e-01,3.945016571969698349e-01,3.057232481060573326e-01,9.706869292060861520e-02,-2.269469440438058316e-01,2.126671363286904426e-01
7.541788624885241710e-01,3.227380694457239185e-01,3.180104618036419528e-01,3.932528390668720841e-01,3.973107122245276845e-01,3.517104640151512140e-01,2.771366003787883447e-01,5.361624053030262793e-01,-5.490926061883821818e-02,2.181070630773057906e-01,-3.022559299699514868e-01
7.542773149452522974e-01,3.777737456834144303e-01,3.475248307111651891e-01,3.731840163701029556e-01,3.494527631972657589e-01,5.447443181818161229e-01,2.880267518939395033e-01,4.564393939393943667e-01,2.566965434502959664e-01,5.966919652387723400e-02,-3.872547854170697024e-01
7.538170911508361716e-01,3.850983043905359948e-01,3.093066196642080268e-01,4.578009039260665380e-01,3.946927826354505453e-01,3.121744791666680729e-01,2.877012310606074097e-01,2.013494318181824339e-01,-1.059085738871091559e-01,-8.329887833817604947e-02,-7.479899279346253517e-03
7.540291864930263044e-01,4.180787013129604324e-01,3.962995403784250192e-01,5.657170169669308857e-01,3.510955622601982795e-01,5.033143939393924793e-01,1.820253314393954491e-01,2.190755208333353965e-01,2.995359665956454087e-01,1.444980542600979474e-02,6.748909122501180191e-02
7.541103561006105016e-01,5.398679685643907877e-01,4.410096535958979991e-01,4.720131470915424066e-01,5.088334094283035736e-01,2.675781250000008882e-01,4.433297821969697239e-01,2.046638257575770503e-01,1.298782511231973691e-01,-8.244888978370445987e-02,-1.706777017378135752e-01
7.539002444816641502e-01,4.080801247803773624e-01,3.701996266930864254e-01,3.566768713252421730e-01,3.411123918490705509e-01,4.398378314393940336e-01,3.708866003787870680e-01,4.289476799242394889e-01,-8.329887833817757256e-03,1.518079558285531094e-01,-2.939260421361353237e-01
7.535325491485100891e-01,4.066443211454023876e-01,4.229346487243595409e-01,3.710257269597310170e-01,4.764945854776545531e-01,4.850852272727257941e-01,2.710996685606061329e-01,4.926905776515098645e-01,1.652377749891982550e-01,1.545279192028610193e-01,1.898874430688611281e-01
7.540485345883093382e-01,4.041365199993879331e-01,3.646826091087356780e-01,3.466662694620211704e-01,3.923684067315227897e-01,4.068122632575726372e-01,4.665305397727294023e-01,3.535156249999972244e-01,5.269929037721211157e-03,-2.881461199657308625e-01,-2.141971157267383297e-01
7.543801152885598604e-01,4.200564177969132174e-01,3.300619427281905605e-01,3.556543948899323904e-01,4.356609442649083119e-01,3.444306344696949629e-01,4.205433238636319127e-01,3.728101325757556816e-01,-9.434872954630087183e-02,-1.892074522252852053e-01,-8.533885086890649618e-02
7.538152704733276366e-01,4.504931465278955161e-01,3.517483984257326335e-01,3.815033298868788503e-01,4.929475920134251399e-01,2.424834280303039269e-01,2.784386837121209379e-01,4.886659564393923127e-01,-1.091385303941000418e-01,-2.813462115299598665e-01,-1.915874201778045571e-01
7.534568415734522739e-01,3.533456379468388753e-01,4.161748204036971321e-01,3.977531986469932113e-01,4.544930395017299229e-01,4.136777935606039680e-01,2.589666193181838771e-01,6.057054924242408767e-01,-1.206983747349086797e-02,-8.669883255606126299e-03,2.175970699446225232e-01
7.540417138412328635e-01,3.151744034312703446e-01,3.345712223489454851e-01,3.503465859303934171e-01,4.668609539164324529e-01,5.702829071969651720e-01,3.452296401515131397e-01,2.456202651515163038e-01,4.673237072482531729e-01,-1.733976651121223178e-02,-1.506179718522936417e-01
7.541448674503299365e-01,4.707678031644197403e-01,3.851747098389287083e-01,3.476177413017631501e-01,3.616741900483114169e-01,4.125236742424228109e-01,3.940281723484801990e-01,5.408972537878734554e-01,-1.322582190757159992e-01,9.672869749882075097e-02,1.863174911400834466e-01
7.541548675894620413e-01,3.193112064630092006e-01,4.718591654020415915e-01,3.325936285034404305e-01,4.080623957700112436e-01,3.632220643939358951e-01,5.550426136363583174e-01,3.046579071969691133e-01,-1.645577841456214441e-01,3.719549914365868348e-01,2.191270493426707155e-01
7.534849669647570858e-01,3.823628824376508195e-01,3.177125072368870429e-01,4.063248258393738488e-01,4.141946842689382957e-01,3.366181344696958511e-01,2.870205965909085610e-01,4.132043087121218261e-01,-1.395681206441682920e-01,6.374914158533827313e-02,-1.215483632893794574e-01
7.538504611803317212e-01,3.432441240900287460e-01,3.541625387223366617e-01,4.294791126071937915e-01,4.577562028048188236e-01,4.142992424242428751e-01,4.265506628787861243e-01,2.668974905303040379e-01,2.209970241625033513e-02,-2.957960169559704644e-01,-3.008959482827981008e-02
7.542306295131053773e-01,4.076827672565371263e-01,3.279791786713345814e-01,3.541597423512934384e-01,3.149874840002412912e-01,2.940636837121222702e-01,5.245324337121174407e-01,3.862156723484843623e-01,8.176889894012770443e-02,-2.908660833400383283e-01,2.677463946584227594e-01
7.538122541270118049e-01,3.717361263792260395e-01,2.982088255279972122e-01,3.323599152687787273e-01,4.207873441524048186e-01,2.930279356060622731e-01,4.591619318181782705e-01,3.812440814393922017e-01,1.495979855869281616e-01,1.767976193300088150e-01,-1.303882442558792765e-01
7.537381770094196964e-01,3.593987169279458938e-01,3.969026894155320284e-01,3.273695859642918871e-01,3.432907810758712985e-01,4.087653882575744690e-01,3.583688446969680030e-01,3.458806818181822118e-01,3.892947579478012177e-02,1.886974590926022433e-01,-7.139903857557915179e-02
7.533891775885607212e-01,3.112485536494241090e-01,3.779284332905220589e-01,3.671834470608304479e-01,2.323763245505086061e-01,2.482836174242444016e-01,4.978397253787882337e-01,6.230172821969666153e-01,-2.583965205592381534e-02,1.699977108945928319e-04,-9.162876617199344764e-02
7.540421486298920506e-01,3.848835720906234048e-01,4.375140912546533478e-01,4.164499083863805740e-01,3.659054363868957660e-01,2.325994318181830722e-01,2.590258049242440963e-01,4.975142045454509221e-01,1.584378665534284525e-01,-1.869974819836407471e-03,9.859867231865650228e-02
7.539654356060607743e-01,2.992012991561855406e-01,3.852381551429838180e-01,4.110077345562267448e-01,3.333279072749197880e-01,2.926728219696976829e-01,1.861979166666687391e-01,4.732481060606010259e-01,4.657937278502093104e-02,1.533379352266014684e-01,-1.145784571427150983e-01
7.539874739561551742e-01,3.926517686998868828e-01,3.632909372803532211e-01,3.940240747584738412e-01,2.934090646909215394e-01,4.688683712121141656e-01,4.942885890151499928e-01,5.162168560606055223e-01,-2.043372484948725309e-01,1.711876948704966483e-01,-5.439926748616009770e-03
7.534738798539821758e-01,3.107762303214249844e-01,3.921311568093373001e-01,3.087693250399916045e-01,3.439541423368118744e-01,5.400094696969688357e-01,4.322620738636285820e-01,3.412642045454549744e-01,1.179784113606003049e-01,-2.218470127169778483e-01,-3.739949639673024410e-03
7.536083110721534251e-01,3.111101681798402185e-01,5.646542063122417243e-01,3.427663499473850850e-01,2.549010075905747130e-01,5.979521780303018730e-01,2.477805397727299019e-01,3.671579071969675034e-01,4.283942314534722878e-02,1.147484548536096272e-01,1.623478139039963020e-01
7.535170054539910289e-01,3.854007875388672510e-01,4.072994795857844408e-01,3.563173495006546343e-01,3.660186353508670942e-01,3.701171874999986122e-01,3.485440340909080614e-01,2.095466382575766062e-01,-2.011072919878823251e-01,2.373168044083544537e-01,-6.238915989818475533e-02
7.536897252483517606e-01,3.712642307437485911e-01,4.218590888228971325e-01,4.035126531075001743e-01,3.701718447429405145e-01,2.497040719697000699e-01,2.610677083333345916e-01,2.145478219696984046e-01,-7.479899279346421959e-02,2.855961543023186056e-02,-1.577578757098515028e-01
7.530574066682643730e-01,4.745024805826955072e-01,4.463320369956648159e-01,3.802850610663146003e-01,3.845454775641204415e-01,2.939453124999997780e-01,2.889441287878786180e-01,1.805752840909101431e-01,-1.886974590926020212e-02,1.295382557014081448e-01,4.011945977103968664e-02
7.539463320793984291e-01,4.007133503455464485e-01,3.264584703921448172e-01,4.249407829558368710e-01,3.547895129849819029e-01,2.602391098484862497e-01,2.655954071969705010e-01,3.526870265151489936e-01,8.397886918175256898e-02,-1.076085509960518632e-01,3.195956964811600548e-02
7.538590210820318438e-01,4.461636528149657832e-01,3.393234558528187561e-01,3.386893944373295384e-01,3.293219618241748914e-01,1.906664299242441518e-01,3.570371685606023027e-01,2.788825757575728592e-01,1.750976422210621247e-02,-3.756949410762631947e-02,-2.719963374307783621e-02
7.546548201974974113e-01,2.931527506113452697e-01,4.274406716191189171e-01,3.928760625375262161e-01,3.078792126005103214e-01,3.151337594696981270e-01,3.053977272727294023e-01,4.399266098484782006e-01,-6.782908664679976329e-02,7.581897905882918620e-02,-1.903974362015444649e-02
7.539811151720298144e-01,3.195064907873318427e-01,3.637600304668096585e-01,3.022381818204508686e-01,4.363072945975818850e-01,3.679865056818175106e-01,2.220348011363656726e-01,2.791489109848496741e-01,-2.464966807966412210e-02,-5.422926977526129622e-02,-2.918860696054026982e-01
7.542041074049711247e-01,4.829808236380199737e-01,3.859861304347014244e-01,2.881358050101982538e-01,4.124546928180849448e-01,3.117897727272727626e-01,3.681936553030302761e-01,6.482303503787901766e-01,2.332368593468932272e-01,2.182770607882002223e-01,-1.076085509960513636e-01
7.532413222705706124e-01,3.217103675228893955e-01,3.084420251654945710e-01,3.226360825896559259e-01,3.610305388913427338e-01,3.690222537878780629e-01,3.195430871212101009e-01,4.581261837121158864e-01,1.023386219583301004e-01,-5.099931326827053524e-02,-4.572938423054959817e-02
7.534790157950017608e-01,4.284695920608374564e-01,3.766284489543603176e-01,3.392583239338537449e-01,2.775075238251805132e-01,4.723899147727261827e-01,4.177024147727239067e-01,2.897135416666629104e-01,2.228669989823443276e-01,1.021686242474357659e-01,-1.580978711316399776e-01
7.542503308741705936e-01,3.074238368683945288e-01,3.046615147372181975e-01,2.885432289812761564e-01,3.953367704547087746e-01,3.554391571969691133e-01,3.871922348484829746e-01,3.044211647727262937e-01,4.062945290372233648e-02,7.139903857557899913e-02,-4.674937049591506438e-02
7.534721135250568302e-01,3.317834876995713889e-01,3.641585469495655647e-01,3.778938990620921423e-01,4.138084262617740539e-01,3.481297348484829191e-01,2.959280303030312198e-01,3.467684659090881638e-01,-6.017918965655941199e-02,-2.345968410340458499e-02,-4.487939567607808489e-02
