block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.75560057500508904,0.41909264492062198,0.56527952622789335,0.17099533186368926,0.17490137795700392,-19.2578125,-14.875,-10.2265625
1,0.75481980205577015,0.3770650351185027,0.35149106231564936,0.3834945756429492,0.44634247799103449,31.34375,-9.1640625,-0.265625
2,0.7558597725422358,0.47042261658597578,0.54497092692177285,0.28465239842992435,0.29682385889604951,-3.5859375,-8.8984375,-13.9453125
3,0.75398019285568874,0.37313690739101679,0.29787674125808011,0.31779187131658504,0.36671990931875642,21.3828125,11.15625,-9.03125
4,0.75654831569305825,0.30405236752131581,0.21598267393965237,0.51488881703865053,0.27679334202915556,-11.2890625,-10.625,9.9609375
5,0.75455106350498813,0.44604795676772824,0.448097361079836,0.98727723543466306,0.36410212978994683,-24.703125,-23.640625,25.765625
6,0.754132849073886,0.35007613364897522,0.3842758931239047,0.61232493868772908,0.45030204071770674,13.4140625,-39.9765625,19.5234375
7,0.75061698554854517,0.28498610411893999,0.32386350005765779,0.4095597051383375,0.39405432636318605,-6.2421875,19.390625,-10.7578125
8,0.75232800732749772,0.61089705473776723,0.3911555113787053,0.19738702223737567,0.47237703826220467,15.140625,-10.890625,26.296875
9,0.75371304447384491,0.36216974056945811,0.14175881336639515,0.30335766787337659,0.64908640542823359,31.4765625,-67.203125,-5.578125
10,0.75023534500305411,0.34030214706083617,0.37805478358555239,0.27654745003938241,0.3766920254929898,-15.0078125,-9.1640625,46.75
11,0.751326200895583,0.14463261166733563,0.27784811879402277,0.77421919496343361,0.60947520231874353,10.890625,49.2734375,25.8984375
12,0.75640042998168189,0.19143723389723744,0.25987607402859814,0.24092404810101128,0.24452351077408749,58.8359375,7.96875,16.46875
13,0.75819573071443158,0.34721297695973552,0.45094339609377776,0.20624114415526462,0.60729746530000761,-14.609375,5.7109375,17.6640625
14,0.7504579686545898,0.37394841530672696,0.78892657498923224,0.36993584913507693,0.338476592002183,22.046875,47.546875,1.859375
15,0.75631615102788474,0.2420456789785958,0.34548067903850166,0.2773875239759338,0.39618058066517625,-30.546875,11.953125,22.84375
16,0.75469099837166664,0.60268354699332372,0.39705288548032713,0.4066455356283793,0.84830854105622866,0.53125,-68.3984375,13.1484375
17,0.7538323071443106,0.48595286509227498,0.26120367432092034,0.14725589929564847,0.23281353598567978,50.0703125,-15.0078125,0.265625
18,0.75502811418685101,0.31675477859327839,0.35202975772475364,0.44568229525906328,0.53688455070850361,52.7265625,13.28125,-25.8984375
