N 4
site partner identity births_at_site
0 1 0 1
1 0 1 1
2 3 2 1
3 2 3 1
4 5 4 1
5 4 5 1
6 7 6 1
7 6 7 1
8 9 8 1
9 8 9 1
10 11 10 1
11 10 11 1
12 13 12 1
13 12 13 1
14 15 14 1
15 14 15 1
16 17 16 1
17 16 17 1
18 19 18 1
19 18 19 1
20 21 20 1
21 20 21 1
22 23 22 1
23 22 23 1
24 25 24 1
25 24 25 1
26 27 26 1
27 26 27 1
28 29 28 1
29 28 29 1
30 31 30 1
31 30 31 1
32 33 32 1
33 32 33 1
34 35 34 1
35 34 35 1
36 37 36 1
37 36 37 1
38 39 38 1
39 38 39 1
40 41 40 1
41 40 41 1
42 43 42 1
43 42 43 1
44 45 44 1
45 44 45 1
46 47 46 1
47 46 47 1
48 49 48 1
49 48 49 1
50 51 50 1
51 50 51 1
52 53 52 1
53 52 53 1
54 55 54 1
55 54 55 1
56 57 56 1
57 56 57 1
58 59 58 1
59 58 59 1
60 61 60 1
61 60 61 1
62 63 62 1
63 62 63 1
