N 4
site partner identity births_at_site
0 4 0 1
1 5 2 1
2 6 4 1
3 7 6 1
4 0 1 1
5 1 3 1
6 2 5 1
7 3 7 1
8 12 8 1
9 13 10 1
10 14 12 1
11 15 14 1
12 8 9 1
13 9 11 1
14 10 13 1
15 11 15 1
16 20 16 1
17 21 18 1
18 22 20 1
19 23 22 1
20 16 17 1
21 17 19 1
22 18 21 1
23 19 23 1
24 28 24 1
25 29 26 1
26 30 28 1
27 31 30 1
28 24 25 1
29 25 27 1
30 26 29 1
31 27 31 1
32 36 32 1
33 37 34 1
34 38 36 1
35 39 38 1
36 32 33 1
37 33 35 1
38 34 37 1
39 35 39 1
40 44 40 1
41 45 42 1
42 46 44 1
43 47 46 1
44 40 41 1
45 41 43 1
46 42 45 1
47 43 47 1
48 52 48 1
49 53 50 1
50 54 52 1
51 55 54 1
52 48 49 1
53 49 51 1
54 50 53 1
55 51 55 1
56 60 56 1
57 61 58 1
58 62 60 1
59 63 62 1
60 56 57 1
61 57 59 1
62 58 61 1
63 59 63 1
