N 6
site partner identity births_at_site
0 -1 -1 0
1 7 0 1
2 8 2 1
3 9 4 1
4 10 6 1
5 11 8 1
6 -1 -1 0
7 1 1 1
8 2 3 1
9 3 5 1
10 4 7 1
11 5 9 1
12 18 10 1
13 19 12 1
14 20 14 1
15 21 16 1
16 22 18 1
17 23 20 1
18 12 11 1
19 13 13 1
20 14 15 1
21 15 17 1
22 16 19 1
23 17 21 1
24 30 22 1
25 31 24 1
26 32 26 1
27 33 28 1
28 34 30 1
29 35 32 1
30 24 23 1
31 25 25 1
32 26 27 1
33 27 29 1
34 28 31 1
35 29 33 1
36 42 34 1
37 43 36 1
38 44 38 1
39 45 40 1
40 46 42 1
41 47 44 1
42 36 35 1
43 37 37 1
44 38 39 1
45 39 41 1
46 40 43 1
47 41 45 1
48 54 46 1
49 55 48 1
50 56 50 1
51 57 52 1
52 58 54 1
53 59 56 1
54 48 47 1
55 49 49 1
56 50 51 1
57 51 53 1
58 52 55 1
59 53 57 1
60 66 58 1
61 67 60 1
62 68 62 1
63 69 64 1
64 70 66 1
65 71 68 1
66 60 59 1
67 61 61 1
68 62 63 1
69 63 65 1
70 64 67 1
71 65 69 1
72 78 70 1
73 79 72 1
74 80 74 1
75 81 76 1
76 82 78 1
77 83 80 1
78 72 71 1
79 73 73 1
80 74 75 1
81 75 77 1
82 76 79 1
83 77 81 1
84 90 82 1
85 91 84 1
86 92 86 1
87 93 88 1
88 94 90 1
89 95 92 1
90 84 83 1
91 85 85 1
92 86 87 1
93 87 89 1
94 88 91 1
95 89 93 1
96 102 94 1
97 103 96 1
98 104 98 1
99 105 100 1
100 106 102 1
101 107 104 1
102 96 95 1
103 97 97 1
104 98 99 1
105 99 101 1
106 100 103 1
107 101 105 1
108 114 106 1
109 115 108 1
110 116 110 1
111 117 112 1
112 118 114 1
113 119 116 1
114 108 107 1
115 109 109 1
116 110 111 1
117 111 113 1
118 112 115 1
119 113 117 1
120 126 118 1
121 127 120 1
122 128 122 1
123 129 124 1
124 130 126 1
125 131 128 1
126 120 119 1
127 121 121 1
128 122 123 1
129 123 125 1
130 124 127 1
131 125 129 1
132 138 130 1
133 139 132 1
134 140 134 1
135 141 136 1
136 142 138 1
137 143 140 1
138 132 131 1
139 133 133 1
140 134 135 1
141 135 137 1
142 136 139 1
143 137 141 1
144 150 142 1
145 151 144 1
146 152 146 1
147 153 148 1
148 154 150 1
149 155 152 1
150 144 143 1
151 145 145 1
152 146 147 1
153 147 149 1
154 148 151 1
155 149 153 1
156 162 154 1
157 163 156 1
158 164 158 1
159 165 160 1
160 166 162 1
161 167 164 1
162 156 155 1
163 157 157 1
164 158 159 1
165 159 161 1
166 160 163 1
167 161 165 1
168 174 166 1
169 175 168 1
170 176 170 1
171 177 172 1
172 178 174 1
173 179 176 1
174 168 167 1
175 169 169 1
176 170 171 1
177 171 173 1
178 172 175 1
179 173 177 1
180 186 178 1
181 187 180 1
182 188 182 1
183 189 184 1
184 190 186 1
185 191 188 1
186 180 179 1
187 181 181 1
188 182 183 1
189 183 185 1
190 184 187 1
191 185 189 1
192 198 190 1
193 199 192 1
194 200 194 1
195 201 196 1
196 202 198 1
197 203 200 1
198 192 191 1
199 193 193 1
200 194 195 1
201 195 197 1
202 196 199 1
203 197 201 1
204 210 202 1
205 211 204 1
206 212 206 1
207 213 208 1
208 214 210 1
209 215 212 1
210 204 203 1
211 205 205 1
212 206 207 1
213 207 209 1
214 208 211 1
215 209 213 1
