N 6
site partner identity births_at_site
0 36 0 1
1 37 2 1
2 38 4 1
3 39 6 1
4 40 8 1
5 41 10 1
6 42 12 1
7 43 14 1
8 44 16 1
9 45 18 1
10 46 20 1
11 47 22 1
12 48 24 1
13 49 26 1
14 50 28 1
15 51 30 1
16 52 32 1
17 53 34 1
18 54 36 1
19 55 38 1
20 56 40 1
21 57 42 1
22 58 44 1
23 59 46 1
24 60 48 1
25 61 50 1
26 62 52 1
27 63 54 1
28 64 56 1
29 65 58 1
30 66 60 1
31 67 62 1
32 68 64 1
33 69 66 1
34 70 68 1
35 71 70 1
36 0 1 1
37 1 3 1
38 2 5 1
39 3 7 1
40 4 9 1
41 5 11 1
42 6 13 1
43 7 15 1
44 8 17 1
45 9 19 1
46 10 21 1
47 11 23 1
48 12 25 1
49 13 27 1
50 14 29 1
51 15 31 1
52 16 33 1
53 17 35 1
54 18 37 1
55 19 39 1
56 20 41 1
57 21 43 1
58 22 45 1
59 23 47 1
60 24 49 1
61 25 51 1
62 26 53 1
63 27 55 1
64 28 57 1
65 29 59 1
66 30 61 1
67 31 63 1
68 32 65 1
69 33 67 1
70 34 69 1
71 35 71 1
72 108 72 1
73 109 74 1
74 110 76 1
75 111 78 1
76 112 80 1
77 113 82 1
78 114 84 1
79 115 86 1
80 116 88 1
81 117 90 1
82 118 92 1
83 119 94 1
84 120 96 1
85 121 98 1
86 122 100 1
87 123 102 1
88 124 104 1
89 125 106 1
90 126 108 1
91 127 110 1
92 128 112 1
93 129 114 1
94 130 116 1
95 131 118 1
96 132 120 1
97 133 122 1
98 134 124 1
99 135 126 1
100 136 128 1
101 137 130 1
102 138 132 1
103 139 134 1
104 140 136 1
105 141 138 1
106 142 140 1
107 143 142 1
108 72 73 1
109 73 75 1
110 74 77 1
111 75 79 1
112 76 81 1
113 77 83 1
114 78 85 1
115 79 87 1
116 80 89 1
117 81 91 1
118 82 93 1
119 83 95 1
120 84 97 1
121 85 99 1
122 86 101 1
123 87 103 1
124 88 105 1
125 89 107 1
126 90 109 1
127 91 111 1
128 92 113 1
129 93 115 1
130 94 117 1
131 95 119 1
132 96 121 1
133 97 123 1
134 98 125 1
135 99 127 1
136 100 129 1
137 101 131 1
138 102 133 1
139 103 135 1
140 104 137 1
141 105 139 1
142 106 141 1
143 107 143 1
144 180 144 1
145 181 146 1
146 182 148 1
147 183 150 1
148 184 152 1
149 185 154 1
150 186 156 1
151 187 158 1
152 188 160 1
153 189 162 1
154 190 164 1
155 191 166 1
156 192 168 1
157 193 170 1
158 194 172 1
159 195 174 1
160 196 176 1
161 197 178 1
162 198 180 1
163 199 182 1
164 200 184 1
165 201 186 1
166 202 188 1
167 203 190 1
168 204 192 1
169 205 194 1
170 206 196 1
171 207 198 1
172 208 200 1
173 209 202 1
174 210 204 1
175 211 206 1
176 212 208 1
177 213 210 1
178 214 212 1
179 215 214 1
180 144 145 1
181 145 147 1
182 146 149 1
183 147 151 1
184 148 153 1
185 149 155 1
186 150 157 1
187 151 159 1
188 152 161 1
189 153 163 1
190 154 165 1
191 155 167 1
192 156 169 1
193 157 171 1
194 158 173 1
195 159 175 1
196 160 177 1
197 161 179 1
198 162 181 1
199 163 183 1
200 164 185 1
201 165 187 1
202 166 189 1
203 167 191 1
204 168 193 1
205 169 195 1
206 170 197 1
207 171 199 1
208 172 201 1
209 173 203 1
210 174 205 1
211 175 207 1
212 176 209 1
213 177 211 1
214 178 213 1
215 179 215 1
