N 6
site partner identity births_at_site
0 6 0 1
1 31 2 1
2 8 4 1
3 33 6 1
4 10 8 1
5 35 10 1
6 0 1 1
7 13 12 1
8 2 5 1
9 15 14 1
10 4 9 1
11 17 16 1
12 18 18 1
13 7 13 1
14 20 20 1
15 9 15 1
16 22 22 1
17 11 17 1
18 12 19 1
19 25 24 1
20 14 21 1
21 27 26 1
22 16 23 1
23 29 28 1
24 30 30 1
25 19 25 1
26 32 32 1
27 21 27 1
28 34 34 1
29 23 29 1
30 24 31 1
31 1 3 1
32 26 33 1
33 3 7 1
34 28 35 1
35 5 11 1
36 66 36 1
37 43 38 1
38 68 40 1
39 45 42 1
40 70 44 1
41 47 46 1
42 48 48 1
43 37 39 1
44 50 50 1
45 39 43 1
46 52 52 1
47 41 47 1
48 42 49 1
49 55 54 1
50 44 51 1
51 57 56 1
52 46 53 1
53 59 58 1
54 60 60 1
55 49 55 1
56 62 62 1
57 51 57 1
58 64 64 1
59 53 59 1
60 54 61 1
61 67 66 1
62 56 63 1
63 69 68 1
64 58 65 1
65 71 70 1
66 36 37 1
67 61 67 1
68 38 41 1
69 63 69 1
70 40 45 1
71 65 71 1
72 78 72 1
73 103 74 1
74 80 76 1
75 105 78 1
76 82 80 1
77 107 82 1
78 72 73 1
79 85 84 1
80 74 77 1
81 87 86 1
82 76 81 1
83 89 88 1
84 90 90 1
85 79 85 1
86 92 92 1
87 81 87 1
88 94 94 1
89 83 89 1
90 84 91 1
91 97 96 1
92 86 93 1
93 99 98 1
94 88 95 1
95 101 100 1
96 102 102 1
97 91 97 1
98 104 104 1
99 93 99 1
100 106 106 1
101 95 101 1
102 96 103 1
103 73 75 1
104 98 105 1
105 75 79 1
106 100 107 1
107 77 83 1
108 138 108 1
109 115 110 1
110 140 112 1
111 117 114 1
112 142 116 1
113 119 118 1
114 120 120 1
115 109 111 1
116 122 122 1
117 111 115 1
118 124 124 1
119 113 119 1
120 114 121 1
121 127 126 1
122 116 123 1
123 129 128 1
124 118 125 1
125 131 130 1
126 132 132 1
127 121 127 1
128 134 134 1
129 123 129 1
130 136 136 1
131 125 131 1
132 126 133 1
133 139 138 1
134 128 135 1
135 141 140 1
136 130 137 1
137 143 142 1
138 108 109 1
139 133 139 1
140 110 113 1
141 135 141 1
142 112 117 1
143 137 143 1
144 150 144 1
145 175 146 1
146 152 148 1
147 177 150 1
148 154 152 1
149 179 154 1
150 144 145 1
151 157 156 1
152 146 149 1
153 159 158 1
154 148 153 1
155 161 160 1
156 162 162 1
157 151 157 1
158 164 164 1
159 153 159 1
160 166 166 1
161 155 161 1
162 156 163 1
163 169 168 1
164 158 165 1
165 171 170 1
166 160 167 1
167 173 172 1
168 174 174 1
169 163 169 1
170 176 176 1
171 165 171 1
172 178 178 1
173 167 173 1
174 168 175 1
175 145 147 1
176 170 177 1
177 147 151 1
178 172 179 1
179 149 155 1
180 210 180 1
181 187 182 1
182 212 184 1
183 189 186 1
184 214 188 1
185 191 190 1
186 192 192 1
187 181 183 1
188 194 194 1
189 183 187 1
190 196 196 1
191 185 191 1
192 186 193 1
193 199 198 1
194 188 195 1
195 201 200 1
196 190 197 1
197 203 202 1
198 204 204 1
199 193 199 1
200 206 206 1
201 195 201 1
202 208 208 1
203 197 203 1
204 198 205 1
205 211 210 1
206 200 207 1
207 213 212 1
208 202 209 1
209 215 214 1
210 180 181 1
211 205 211 1
212 182 185 1
213 207 213 1
214 184 189 1
215 209 215 1
