block,rho,S_x1,S_x2,S_xy1,S_xy2,flux_x,flux_y,flux_z
0,0.055465092611439032,0.0048144396612633733,0.013022783864147267,0.0077405090089975939,0.019547599468707846,0,0,0
1,0.057249262161612059,0.0049258191841491817,0.011568759266084477,0.0092959199852924168,0.02029259410261558,0,0,0
2,0.0548862711174435,0.0041468121892275934,0.012938912993609468,0.0091993332340071215,0.022967232934458494,0,0,0
3,0.056390570934256076,0.0043457293975041498,0.013467935721379689,0.0084774805487617469,0.021698933003126315,0,0,0
4,0.057866247710156693,0.0042550238260978318,0.01410810050319285,0.0081317354730283935,0.023621273099145853,0,0,0
5,0.058658151842051684,0.0046066357218468561,0.013196795112225679,0.0097500131016848186,0.022072093277580671,0,0,0
6,0.057207917769183783,0.0045485357523269883,0.013373712999537449,0.0094732288782526947,0.023197441187451661,0,0,0
7,0.057767657235904719,0.0045993784347460867,0.014324612868431558,0.0096851579132673244,0.019965481023809049,0,0,0
8,0.057115687970689992,0.0049017773696427751,0.014070858781233465,0.0084001331057226049,0.021854212165651039,0,0,0
9,0.057265163851007529,0.0045545663260273409,0.013854551332334819,0.0095642876981830872,0.019036723784641843,0,0,0
10,0.058476872582943221,0.0050877025189871089,0.013170106551401935,0.0088585930746638078,0.020497864162470049,0,0,0
11,0.056889883981274175,0.0043612320030812007,0.012873686442396904,0.008726322661270252,0.019439816603836198,0,0,0
12,0.056069356808467342,0.0049989885383400949,0.015118908335863872,0.0090436582227809443,0.020712713930435323,0,0,0
