time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,9.1097114310124617e-38,9.1097114310124606e-38,0
0.01,38,474,19,1,0,0,63,0,1,7,5,7,0.0072731594239933677,0.0084635416666666661,0.011067708333333334,0.01497395833333333,0.005859375
0.012663801734674032,48,464,24,2,0,0,79,0,1,9,8,7,0.0087196603399751216,0.0081938713786633473,0.012369791666666668,0.0052083333333333296,0.01953125
0.016037187437513305,56,456,28,2,0,1,106,0,1,13,8,7,0.013546622294645105,0.011021440226650081,0.011067708333333336,0.0026041666666666704,0.066406249999999986
0.020309176209047358,64,448,32,3,0,1,130,0,1,14,10,8,0.011626213786633493,0.018452568847986732,0.011718750000000003,0.0026041666666666713,0.14062499999999997
0.025719138090593452,74,438,37,3,0,3,159,0,1,16,11,10,0.010626517233291867,0.010146996378663349,0.018229166666666675,0.012369791666666671,0.10351562499999999
0.032570206556597842,88,424,44,8,0,3,197,1,2,18,15,11,0.016104520854628521,0.0051157971199668317,0.042317708333333343,0.0091145833333333304,0.066406249999999986
0.041246263829013523,108,404,54,11,0,3,265,1,2,22,19,13,0.02254950453731841,0.02255511779991707,0.033203125,0.020833333333333336,0.074218749999999944
0.052233450742668427,134,378,67,17,0,4,345,2,2,27,21,19,0.062927639485346618,0.043396389485346618,0.030598958333333336,0.012369791666666668,0.068359375
0.066147406412301504,158,354,79,20,0,4,421,2,2,33,24,22,0.059007837870651753,0.056444326048069662,0.03515625,0.022786458333333325,0.087890625
0.083767764006829212,200,312,100,24,0,4,537,7,2,40,33,27,0.072745145854628532,0.10355066658148593,0.051432291666666664,0.050781249999999993,0.10546874999999992
0.10608183551394489,220,292,110,31,0,5,678,8,2,44,35,31,0.079991202049232157,0.094436083248152586,0.048828125000000014,0.045572916666666644,0.18359374999999989
0.13433993325989005,250,262,125,36,0,9,880,11,2,51,41,33,0.10158166487729352,0.095849867672145955,0.087890625,0.05924479166666665,0.037109374999999986
0.17012542798525895,282,230,141,44,0,10,1098,20,2,55,44,42,0.10142930894254897,0.11023821732278941,0.13802083333333334,0.080078125000000014,0.10351562499999997
0.21544346900318842,306,206,153,50,0,13,1390,29,3,57,49,47,0.069749344367704788,0.14119938215749256,0.11393229166666666,0.048828124999999993,0.099609375000000028
0.2728333376486769,334,178,167,66,0,14,1760,39,3,63,53,51,0.053454137823744571,0.072450697426732991,0.11132812499999999,0.13216145833333329,0.24023437499999992
0.34551072945922218,358,154,179,86,0,15,2208,44,3,70,56,53,0.076142446681112752,0.11751137674678278,0.097656249999999972,0.077473958333333273,0.337890625
0.43754793750741861,372,140,186,110,0,15,2763,49,3,72,57,57,0.068455199386467644,0.18884506326691547,0.16276041666666663,0.057291666666666637,0.33984374999999983
0.55410203300094929,412,100,206,131,0,15,3475,63,3,78,63,65,0.23507230977334995,0.16210608682689887,0.21875000000000003,0.055989583333333322,0.38671874999999983
