N 4
site partner identity births_at_site
0 16 0 1
1 49 2 1
2 18 4 1
3 51 6 1
4 52 8 1
5 21 10 1
6 54 12 1
7 23 14 1
8 24 16 1
9 57 18 1
10 26 20 1
11 59 22 1
12 60 24 1
13 29 26 1
14 62 28 1
15 31 30 1
16 0 1 1
17 33 32 1
18 2 5 1
19 35 34 1
20 36 36 1
21 5 11 1
22 38 38 1
23 7 15 1
24 8 17 1
25 41 40 1
26 10 21 1
27 43 42 1
28 44 44 1
29 13 27 1
30 46 46 1
31 15 31 1
32 48 48 1
33 17 33 1
34 50 50 1
35 19 35 1
36 20 37 1
37 53 52 1
38 22 39 1
39 55 54 1
40 56 56 1
41 25 41 1
42 58 58 1
43 27 43 1
44 28 45 1
45 61 60 1
46 30 47 1
47 63 62 1
48 32 49 1
49 1 3 1
50 34 51 1
51 3 7 1
52 4 9 1
53 37 53 1
54 6 13 1
55 39 55 1
56 40 57 1
57 9 19 1
58 42 59 1
59 11 23 1
60 12 25 1
61 45 61 1
62 14 29 1
63 47 63 1
