N 6
site partner identity births_at_site
0 -1 -1 0
1 181 0 1
2 38 2 1
3 183 4 1
4 40 6 1
5 185 8 1
6 186 10 1
7 43 12 1
8 188 14 1
9 45 16 1
10 190 18 1
11 47 20 1
12 48 22 1
13 193 24 1
14 50 26 1
15 195 28 1
16 52 30 1
17 197 32 1
18 198 34 1
19 55 36 1
20 200 38 1
21 57 40 1
22 202 42 1
23 59 44 1
24 60 46 1
25 205 48 1
26 62 50 1
27 207 52 1
28 64 54 1
29 209 56 1
30 210 58 1
31 67 60 1
32 212 62 1
33 69 64 1
34 214 66 1
35 71 68 1
36 -1 -1 0
37 73 70 1
38 2 3 1
39 75 72 1
40 4 7 1
41 77 74 1
42 78 76 1
43 7 13 1
44 80 78 1
45 9 17 1
46 82 80 1
47 11 21 1
48 12 23 1
49 85 82 1
50 14 27 1
51 87 84 1
52 16 31 1
53 89 86 1
54 90 88 1
55 19 37 1
56 92 90 1
57 21 41 1
58 94 92 1
59 23 45 1
60 24 47 1
61 97 94 1
62 26 51 1
63 99 96 1
64 28 55 1
65 101 98 1
66 102 100 1
67 31 61 1
68 104 102 1
69 33 65 1
70 106 104 1
71 35 69 1
72 108 106 1
73 37 71 1
74 110 108 1
75 39 73 1
76 112 110 1
77 41 75 1
78 42 77 1
79 115 112 1
80 44 79 1
81 117 114 1
82 46 81 1
83 119 116 1
84 120 118 1
85 49 83 1
86 122 120 1
87 51 85 1
88 124 122 1
89 53 87 1
90 54 89 1
91 127 124 1
92 56 91 1
93 129 126 1
94 58 93 1
95 131 128 1
96 132 130 1
97 61 95 1
98 134 132 1
99 63 97 1
100 136 134 1
101 65 99 1
102 66 101 1
103 139 136 1
104 68 103 1
105 141 138 1
106 70 105 1
107 143 140 1
108 72 107 1
109 145 142 1
110 74 109 1
111 147 144 1
112 76 111 1
113 149 146 1
114 150 148 1
115 79 113 1
116 152 150 1
117 81 115 1
118 154 152 1
119 83 117 1
120 84 119 1
121 157 154 1
122 86 121 1
123 159 156 1
124 88 123 1
125 161 158 1
126 162 160 1
127 91 125 1
128 164 162 1
129 93 127 1
130 166 164 1
131 95 129 1
132 96 131 1
133 169 166 1
134 98 133 1
135 171 168 1
136 100 135 1
137 173 170 1
138 174 172 1
139 103 137 1
140 176 174 1
141 105 139 1
142 178 176 1
143 107 141 1
144 180 178 1
145 109 143 1
146 182 180 1
147 111 145 1
148 184 182 1
149 113 147 1
150 114 149 1
151 187 184 1
152 116 151 1
153 189 186 1
154 118 153 1
155 191 188 1
156 192 190 1
157 121 155 1
158 194 192 1
159 123 157 1
160 196 194 1
161 125 159 1
162 126 161 1
163 199 196 1
164 128 163 1
165 201 198 1
166 130 165 1
167 203 200 1
168 204 202 1
169 133 167 1
170 206 204 1
171 135 169 1
172 208 206 1
173 137 171 1
174 138 173 1
175 211 208 1
176 140 175 1
177 213 210 1
178 142 177 1
179 215 212 1
180 144 179 1
181 1 1 1
182 146 181 1
183 3 5 1
184 148 183 1
185 5 9 1
186 6 11 1
187 151 185 1
188 8 15 1
189 153 187 1
190 10 19 1
191 155 189 1
192 156 191 1
193 13 25 1
194 158 193 1
195 15 29 1
196 160 195 1
197 17 33 1
198 18 35 1
199 163 197 1
200 20 39 1
201 165 199 1
202 22 43 1
203 167 201 1
204 168 203 1
205 25 49 1
206 170 205 1
207 27 53 1
208 172 207 1
209 29 57 1
210 30 59 1
211 175 209 1
212 32 63 1
213 177 211 1
214 34 67 1
215 179 213 1
