N 4
site partner identity births_at_site
0 4 0 1
1 13 2 1
2 6 4 1
3 15 6 1
4 0 1 1
5 9 8 1
6 2 5 1
7 11 10 1
8 12 12 1
9 5 9 1
10 14 14 1
11 7 11 1
12 8 13 1
13 1 3 1
14 10 15 1
15 3 7 1
16 28 16 1
17 21 18 1
18 30 20 1
19 23 22 1
20 24 24 1
21 17 19 1
22 26 26 1
23 19 23 1
24 20 25 1
25 29 28 1
26 22 27 1
27 31 30 1
28 16 17 1
29 25 29 1
30 18 21 1
31 27 31 1
32 36 32 1
33 45 34 1
34 38 36 1
35 47 38 1
36 32 33 1
37 41 40 1
38 34 37 1
39 43 42 1
40 44 44 1
41 37 41 1
42 46 46 1
43 39 43 1
44 40 45 1
45 33 35 1
46 42 47 1
47 35 39 1
48 60 48 1
49 53 50 1
50 62 52 1
51 55 54 1
52 56 56 1
53 49 51 1
54 58 58 1
55 51 55 1
56 52 57 1
57 61 60 1
58 54 59 1
59 63 62 1
60 48 49 1
61 57 61 1
62 50 53 1
63 59 63 1
