N 4
site partner identity births_at_site
0 -1 -1 0
1 -1 -1 0
2 3 0 1
3 2 1 1
4 5 2 1
5 4 3 1
6 7 4 1
7 6 5 1
8 9 6 1
9 8 7 1
10 11 8 1
11 10 9 1
12 13 10 1
13 12 11 1
14 15 12 1
15 14 13 1
16 17 14 1
17 16 15 1
18 19 16 1
19 18 17 1
20 21 18 1
21 20 19 1
22 23 20 1
23 22 21 1
24 25 22 1
25 24 23 1
26 27 24 1
27 26 25 1
28 29 26 1
29 28 27 1
30 31 28 1
31 30 29 1
32 33 30 1
33 32 31 1
34 35 32 1
35 34 33 1
36 37 34 1
37 36 35 1
38 39 36 1
39 38 37 1
40 41 38 1
41 40 39 1
42 43 40 1
43 42 41 1
44 45 42 1
45 44 43 1
46 47 44 1
47 46 45 1
48 49 46 1
49 48 47 1
50 51 48 1
51 50 49 1
52 53 50 1
53 52 51 1
54 55 52 1
55 54 53 1
56 57 54 1
57 56 55 1
58 59 56 1
59 58 57 1
60 61 58 1
61 60 59 1
62 63 60 1
63 62 61 1
