| Gate | Quantity | Tolerance | Measured | Result |
|---|---|---:|---:|---|
| G0[B2Q(0)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=0.00000000000000000e+00; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(1)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=2.77555756156289135e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(-1)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=2.77555756156289135e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(2)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=5.11787526652090422e-16; total_resid=0.00000000000000000e+00 | PASS |
| G0[B2Q(-2)] | uniform plaquette phase and total flux | phase<1.0e-12; total<1.0e-10 | phase_resid=5.11787526652090422e-16; total_resid=0.00000000000000000e+00 | PASS |
| G1[B4free] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B4rand] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(0)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(1)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(-1)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(2)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[B2Q(-2)] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G1[Btoy] | max anticommutator entry and anti-Hermitian entry | each<1.0e-14 | anticom=0.00000000000000000e+00; antiherm=0.00000000000000000e+00 | PASS |
| G2[B4free] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=4.88498130835068878e-15; t=1.0:resid=4.44089209850062616e-16; t=3.0:resid=4.63171168085807494e-16; max=4.88498130835068878e-15 | PASS |
| G2[B4rand] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=1.49602552568239844e-14; t=1.0:resid=2.60347299274599209e-14; t=3.0:resid=3.58341828432529041e-14; max=3.58341828432529041e-14 | PASS |
| G2[B2Q(0)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=2.33146835171282873e-15; t=1.0:resid=6.66133814775093924e-16; t=3.0:resid=1.95676808090183840e-15; max=2.33146835171282873e-15 | PASS |
| G2[B2Q(1)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=4.44089209850062616e-16; t=1.0:resid=1.94289029309402395e-15; t=3.0:resid=3.12250225675825277e-15; max=3.12250225675825277e-15 | PASS |
| G2[B2Q(-1)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=4.44089209850062616e-16; t=1.0:resid=1.94289029309402395e-15; t=3.0:resid=3.12250225675825277e-15; max=3.12250225675825277e-15 | PASS |
| G2[B2Q(2)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=3.55271367880050093e-15; t=1.0:resid=3.33066907387546962e-15; t=3.0:resid=3.10862446895043831e-15; max=3.55271367880050093e-15 | PASS |
| G2[B2Q(-2)] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=3.55271367880050093e-15; t=1.0:resid=3.33066907387546962e-15; t=3.0:resid=3.10862446895043831e-15; max=3.55271367880050093e-15 | PASS |
| G2[Btoy] | max abs(A_t - tr(eps)) over t=0.3,1.0,3.0 | <1.0e-10 | t=0.3:resid=4.44089209850062616e-16; t=1.0:resid=1.11022302462515654e-16; t=3.0:resid=0.00000000000000000e+00; max=4.44089209850062616e-16 | PASS |
| G2b[B2Q(0)] | Q-blind A_1 residual; sigma_min diagnostic | A_1<1.0e-10; sigma no gate | A1_resid=6.66133814775093924e-16; sigma_min=1.58573038106939493e-17 | PASS |
