rho,S_x1,S_x2,S_xy1,S_xy2,Fx2_per_V,Fy2_per_V,Fz2_per_V,Fx_per_sqrtV,Fy_per_sqrtV,Fz_per_sqrtV
7.540256879706760396e-01,5.175978293012855058e-01,4.041273016481415903e-01,4.222944854677749271e-01,3.551121973433113976e-01,5.297353316326508521e-01,3.283641581632629758e-01,3.790856186224466073e-01,-8.537946428571355217e-02,1.316964285714290750e-01,-1.304408482142860315e-01
7.543022571377592245e-01,3.196754905451654194e-01,4.047346501437321664e-01,3.688755214823492556e-01,2.693721367912710329e-01,2.964963329081611310e-01,3.803810586734651111e-01,3.813576211734668875e-01,-3.250558035714325861e-02,6.473214285714334881e-02,1.201171874999988343e-01
7.540212886292066985e-01,4.083036520366228883e-01,3.216909889085470264e-01,3.692590162636634754e-01,3.853660360225077963e-01,2.757892219387775845e-01,2.969547193877531410e-01,3.415377869897959218e-01,-1.953125000000017694e-02,4.185267857143207433e-03,-1.994977678571505098e-02
7.537945565304426943e-01,4.248648933981850062e-01,3.571674088267889347e-01,3.200519038471971167e-01,2.861820445065368923e-01,3.648756377551023999e-01,4.346500318877545288e-01,2.792769451530603408e-01,-1.481584821428581500e-01,2.523716517857138575e-01,-6.835937500000344343e-03
7.537384441750467623e-01,4.773762884033705967e-01,3.334147338944850048e-01,3.361638196691005276e-01,3.028986783716706710e-01,4.254225127550990693e-01,2.200055803571416835e-01,4.104551977040783450e-01,1.202566964285702727e-01,-1.231863839285716744e-01,2.364676339285716467e-01
7.537648983283974369e-01,3.386305192300769207e-01,2.738140651325834396e-01,3.243303196769365404e-01,3.714737413733948945e-01,2.775829081632645301e-01,4.023238201530582869e-01,2.129703443877545288e-01,1.671316964285715634e-01,-8.244977678571421831e-02,1.244419642857148289e-01
7.539461345958125005e-01,3.691915467529374717e-01,3.966992415293951191e-01,3.314783761540676110e-01,3.394827782859975995e-01,2.355907206632648354e-01,5.811543367346917455e-01,2.997050382653062006e-01,1.669921875000000833e-01,8.119419642857163277e-02,2.455357142857059888e-02
7.536321046210521235e-01,2.822659392348579876e-01,3.032502882673206446e-01,2.707759100570253930e-01,4.059981973570871983e-01,2.368463010204074626e-01,3.116828762755075033e-01,3.073182397959191015e-01,8.844866071428618415e-02,4.115513392857114011e-02,-1.953124999999982306e-02
7.537411999889505054e-01,4.372000961913984907e-01,3.197746735942021412e-01,4.012191313057203446e-01,3.227628151390500855e-01,3.039700255102034121e-01,3.620256696428549859e-01,2.958585778061211813e-01,-9.207589285714275207e-02,-2.085658482142855874e-01,-1.223493303571426272e-01
7.537224156309266787e-01,2.761586910854491594e-01,3.332819189539840687e-01,4.304719713618036514e-01,3.210389613442428125e-01,2.652662627551014562e-01,4.404296874999986122e-01,2.765864158163252040e-01,3.627232142857551508e-03,1.429966517857157171e-01,-7.477678571428550414e-02
7.536050362200275021e-01,3.398081880014567346e-01,3.874038261976420761e-01,2.493551988156742782e-01,4.196467238334499750e-01,3.038504464285701201e-01,2.697903380102025239e-01,2.520129145408154248e-01,2.053571428571429602e-01,6.096540178571417667e-02,6.682477678571413504e-02
7.538094063830734770e-01,3.758730133576638210e-01,4.297298423049485949e-01,3.454280260838505368e-01,3.311939204856036434e-01,3.183992346938758211e-01,3.773317920918355939e-01,3.653140943877540292e-01,1.113281249999996669e-01,3.766741071428714172e-03,9.040178571428575394e-02
7.541377549692268589e-01,4.969486007920304038e-01,4.223133297401145958e-01,3.178057487406520387e-01,4.298002424642278219e-01,4.893574617346915234e-01,3.307557397959150491e-01,3.962452168367327499e-01,-8.844866071428665599e-02,1.177455357142852127e-01,3.468191964285711193e-01
7.539048139885381472e-01,3.245073549001811219e-01,4.293567427156352312e-01,4.309058808035113874e-01,3.489700746952347776e-01,4.228914221938744333e-01,2.727399553571400181e-01,4.464485012755086135e-01,5.440848214285267347e-03,9.765624999995757517e-04,1.602957589285711471e-01
7.541106616662669460e-01,3.895993885778867849e-01,2.930175045965938141e-01,3.569293787183688282e-01,3.914276200861603328e-01,2.508569834183675962e-01,5.893455038265278390e-01,2.408322704081621579e-01,1.192801339285711748e-01,1.761997767857135799e-01,1.113281250000002637e-01
7.540268334595887634e-01,3.643888268974005973e-01,4.117969345636286471e-01,4.208257634314563345e-01,4.133767867900988158e-01,3.738839285714289917e-01,6.120256696428544307e-01,5.330436862244897211e-01,8.482142857142896397e-02,1.831752232142835890e-01,2.572544642857159114e-01
7.538956334759567834e-01,3.987484944094956685e-01,3.604798118407936403e-01,4.031180215989467186e-01,2.687981876413078619e-01,2.232740752551025665e-01,3.464604591836712988e-01,2.785794005102029680e-01,6.849888392857117481e-02,-4.129464285714116306e-02,2.282366071428572063e-01
