time,occupied,vacancies,births,translations,cube_exchanges,parallel_swaps,attempts,reused_sites,max_site_births,nx,ny,nz,ST1,SL1,ST2,SL2,zero_mode_power
0,0,512,0,0,0,0,0,0,0,0,0,0,0,0,9.1097114310124617e-38,9.1097114310124606e-38,0
0.01,30,482,15,1,0,0,59,0,1,5,5,5,0.010146996378663349,0.013671875,0.0084635416666666678,0.0071614583333333322,0.005859375
0.013433993325989003,42,470,21,1,0,0,73,0,1,7,6,8,0.01953125,0.02364173730402654,0.021484375,0.0084635416666666678,0.025390625
0.018047217668271703,54,458,27,1,0,0,92,1,2,11,8,8,0.021642344197343285,0.027929358682689889,0.035807291666666671,0.0019531250000000022,0.0097656249999999965
0.024244620170823288,64,448,32,1,0,0,118,1,2,11,11,10,0.032565634948028201,0.0180057644853466,0.042317708333333336,0.0039062500000000017,0.0039062499999999957
0.032570206556597835,82,430,41,5,0,0,153,1,2,14,13,14,0.040773057941386401,0.036057797077376455,0.024088541666666668,0.017578125,0.025390624999999993
0.043754793750741858,102,410,51,7,0,0,191,2,2,16,14,21,0.036471884948028194,0.04348892569871312,0.027343749999999997,0.024088541666666671,0.064453125000000014
0.058780160722749122,126,386,63,12,0,0,257,2,2,19,18,26,0.023489381369281914,0.023549201090660023,0.052083333333333322,0.042317708333333329,0.228515625
0.07896522868499728,152,360,76,20,0,0,357,3,2,24,22,30,0.069759607809298518,0.024962985514653396,0.064453124999999986,0.039062500000000007,0.070312500000000028
0.10608183551394484,184,328,92,28,0,0,482,7,2,30,28,34,0.065044346945288559,0.037444478271980101,0.064453125,0.03125,0.10156250000000003
0.14251026703029981,224,288,112,41,0,0,649,13,2,35,35,42,0.043380512781154221,0.019095672162557205,0.052083333333333329,0.070312500000000014,0.69140624999999978
0.19144819761699583,264,248,132,53,0,0,854,20,2,41,43,48,0.085264968366542307,0.048596784466583748,0.086588541666666671,0.078125,0.48828125
0.25719138090593457,312,200,156,73,0,0,1176,31,2,47,54,55,0.12628291845603984,0.10429753263462026,0.11588541666666667,0.042968749999999993,0.40234374999999989
0.34551072945922184,358,154,179,95,0,0,1587,36,2,53,66,60,0.090086317058613627,0.11278817753067664,0.12044270833333333,0.051432291666666671,0.455078125
0.46415888336127786,386,126,193,124,1,0,2099,47,3,60,69,64,0.10520236788509786,0.13780536950410954,0.18033854166666666,0.043619791666666685,0.68164062499999967
0.6235507341273917,414,98,207,154,1,0,2818,58,3,64,75,68,0.10603848197849755,0.10043755074130353,0.25455729166666663,0.064453125000000014,0.41601562499999978
0.83767764006829171,436,76,218,176,2,0,3850,64,3,69,78,71,0.12933156439584914,0.041061893106683255,0.18945312500000003,0.039062500000000007,0.96484374999999956
