N 4
site partner identity births_at_site
0 -1 -1 0
1 49 0 1
2 18 2 1
3 51 4 1
4 52 6 1
5 21 8 1
6 54 10 1
7 23 12 1
8 24 14 1
9 57 16 1
10 26 18 1
11 59 20 1
12 60 22 1
13 29 24 1
14 62 26 1
15 31 28 1
16 -1 -1 0
17 33 30 1
18 2 3 1
19 35 32 1
20 36 34 1
21 5 9 1
22 38 36 1
23 7 13 1
24 8 15 1
25 41 38 1
26 10 19 1
27 43 40 1
28 44 42 1
29 13 25 1
30 46 44 1
31 15 29 1
32 48 46 1
33 17 31 1
34 50 48 1
35 19 33 1
36 20 35 1
37 53 50 1
38 22 37 1
39 55 52 1
40 56 54 1
41 25 39 1
42 58 56 1
43 27 41 1
44 28 43 1
45 61 58 1
46 30 45 1
47 63 60 1
48 32 47 1
49 1 1 1
50 34 49 1
51 3 5 1
52 4 7 1
53 37 51 1
54 6 11 1
55 39 53 1
56 40 55 1
57 9 17 1
58 42 57 1
59 11 21 1
60 12 23 1
61 45 59 1
62 14 27 1
63 47 61 1
