N 6
site partner identity births_at_site
0 1 0 1
1 0 1 1
2 3 2 1
3 2 3 1
4 5 4 1
5 4 5 1
6 7 6 1
7 6 7 1
8 9 8 1
9 8 9 1
10 11 10 1
11 10 11 1
12 13 12 1
13 12 13 1
14 15 14 1
15 14 15 1
16 17 16 1
17 16 17 1
18 19 18 1
19 18 19 1
20 21 20 1
21 20 21 1
22 23 22 1
23 22 23 1
24 25 24 1
25 24 25 1
26 27 26 1
27 26 27 1
28 29 28 1
29 28 29 1
30 31 30 1
31 30 31 1
32 33 32 1
33 32 33 1
34 35 34 1
35 34 35 1
36 37 36 1
37 36 37 1
38 39 38 1
39 38 39 1
40 41 40 1
41 40 41 1
42 43 42 1
43 42 43 1
44 45 44 1
45 44 45 1
46 47 46 1
47 46 47 1
48 49 48 1
49 48 49 1
50 51 50 1
51 50 51 1
52 53 52 1
53 52 53 1
54 55 54 1
55 54 55 1
56 57 56 1
57 56 57 1
58 59 58 1
59 58 59 1
60 61 60 1
61 60 61 1
62 63 62 1
63 62 63 1
64 65 64 1
65 64 65 1
66 67 66 1
67 66 67 1
68 69 68 1
69 68 69 1
70 71 70 1
71 70 71 1
72 73 72 1
73 72 73 1
74 75 74 1
75 74 75 1
76 77 76 1
77 76 77 1
78 79 78 1
79 78 79 1
80 81 80 1
81 80 81 1
82 83 82 1
83 82 83 1
84 85 84 1
85 84 85 1
86 87 86 1
87 86 87 1
88 89 88 1
89 88 89 1
90 91 90 1
91 90 91 1
92 93 92 1
93 92 93 1
94 95 94 1
95 94 95 1
96 97 96 1
97 96 97 1
98 99 98 1
99 98 99 1
100 101 100 1
101 100 101 1
102 103 102 1
103 102 103 1
104 105 104 1
105 104 105 1
106 107 106 1
107 106 107 1
108 109 108 1
109 108 109 1
110 111 110 1
111 110 111 1
112 113 112 1
113 112 113 1
114 115 114 1
115 114 115 1
116 117 116 1
117 116 117 1
118 119 118 1
119 118 119 1
120 121 120 1
121 120 121 1
122 123 122 1
123 122 123 1
124 125 124 1
125 124 125 1
126 127 126 1
127 126 127 1
128 129 128 1
129 128 129 1
130 131 130 1
131 130 131 1
132 133 132 1
133 132 133 1
134 135 134 1
135 134 135 1
136 137 136 1
137 136 137 1
138 139 138 1
139 138 139 1
140 141 140 1
141 140 141 1
142 143 142 1
143 142 143 1
144 145 144 1
145 144 145 1
146 147 146 1
147 146 147 1
148 149 148 1
149 148 149 1
150 151 150 1
151 150 151 1
152 153 152 1
153 152 153 1
154 155 154 1
155 154 155 1
156 157 156 1
157 156 157 1
158 159 158 1
159 158 159 1
160 161 160 1
161 160 161 1
162 163 162 1
163 162 163 1
164 165 164 1
165 164 165 1
166 167 166 1
167 166 167 1
168 169 168 1
169 168 169 1
170 171 170 1
171 170 171 1
172 173 172 1
173 172 173 1
174 175 174 1
175 174 175 1
176 177 176 1
177 176 177 1
178 179 178 1
179 178 179 1
180 181 180 1
181 180 181 1
182 183 182 1
183 182 183 1
184 185 184 1
185 184 185 1
186 187 186 1
187 186 187 1
188 189 188 1
189 188 189 1
190 191 190 1
191 190 191 1
192 193 192 1
193 192 193 1
194 195 194 1
195 194 195 1
196 197 196 1
197 196 197 1
198 199 198 1
199 198 199 1
200 201 200 1
201 200 201 1
202 203 202 1
203 202 203 1
204 205 204 1
205 204 205 1
206 207 206 1
207 206 207 1
208 209 208 1
209 208 209 1
210 211 210 1
211 210 211 1
212 213 212 1
213 212 213 1
214 215 214 1
215 214 215 1
