N 6
site partner identity births_at_site
0 -1 -1 0
1 31 0 1
2 8 2 1
3 33 4 1
4 10 6 1
5 35 8 1
6 -1 -1 0
7 13 10 1
8 2 3 1
9 15 12 1
10 4 7 1
11 17 14 1
12 18 16 1
13 7 11 1
14 20 18 1
15 9 13 1
16 22 20 1
17 11 15 1
18 12 17 1
19 25 22 1
20 14 19 1
21 27 24 1
22 16 21 1
23 29 26 1
24 30 28 1
25 19 23 1
26 32 30 1
27 21 25 1
28 34 32 1
29 23 27 1
30 24 29 1
31 1 1 1
32 26 31 1
33 3 5 1
34 28 33 1
35 5 9 1
36 66 34 1
37 43 36 1
38 68 38 1
39 45 40 1
40 70 42 1
41 47 44 1
42 48 46 1
43 37 37 1
44 50 48 1
45 39 41 1
46 52 50 1
47 41 45 1
48 42 47 1
49 55 52 1
50 44 49 1
51 57 54 1
52 46 51 1
53 59 56 1
54 60 58 1
55 49 53 1
56 62 60 1
57 51 55 1
58 64 62 1
59 53 57 1
60 54 59 1
61 67 64 1
62 56 61 1
63 69 66 1
64 58 63 1
65 71 68 1
66 36 35 1
67 61 65 1
68 38 39 1
69 63 67 1
70 40 43 1
71 65 69 1
72 78 70 1
73 103 72 1
74 80 74 1
75 105 76 1
76 82 78 1
77 107 80 1
78 72 71 1
79 85 82 1
80 74 75 1
81 87 84 1
82 76 79 1
83 89 86 1
84 90 88 1
85 79 83 1
86 92 90 1
87 81 85 1
88 94 92 1
89 83 87 1
90 84 89 1
91 97 94 1
92 86 91 1
93 99 96 1
94 88 93 1
95 101 98 1
96 102 100 1
97 91 95 1
98 104 102 1
99 93 97 1
100 106 104 1
101 95 99 1
102 96 101 1
103 73 73 1
104 98 103 1
105 75 77 1
106 100 105 1
107 77 81 1
108 138 106 1
109 115 108 1
110 140 110 1
111 117 112 1
112 142 114 1
113 119 116 1
114 120 118 1
115 109 109 1
116 122 120 1
117 111 113 1
118 124 122 1
119 113 117 1
120 114 119 1
121 127 124 1
122 116 121 1
123 129 126 1
124 118 123 1
125 131 128 1
126 132 130 1
127 121 125 1
128 134 132 1
129 123 127 1
130 136 134 1
131 125 129 1
132 126 131 1
133 139 136 1
134 128 133 1
135 141 138 1
136 130 135 1
137 143 140 1
138 108 107 1
139 133 137 1
140 110 111 1
141 135 139 1
142 112 115 1
143 137 141 1
144 150 142 1
145 175 144 1
146 152 146 1
147 177 148 1
148 154 150 1
149 179 152 1
150 144 143 1
151 157 154 1
152 146 147 1
153 159 156 1
154 148 151 1
155 161 158 1
156 162 160 1
157 151 155 1
158 164 162 1
159 153 157 1
160 166 164 1
161 155 159 1
162 156 161 1
163 169 166 1
164 158 163 1
165 171 168 1
166 160 165 1
167 173 170 1
168 174 172 1
169 163 167 1
170 176 174 1
171 165 169 1
172 178 176 1
173 167 171 1
174 168 173 1
175 145 145 1
176 170 175 1
177 147 149 1
178 172 177 1
179 149 153 1
180 210 178 1
181 187 180 1
182 212 182 1
183 189 184 1
184 214 186 1
185 191 188 1
186 192 190 1
187 181 181 1
188 194 192 1
189 183 185 1
190 196 194 1
191 185 189 1
192 186 191 1
193 199 196 1
194 188 193 1
195 201 198 1
196 190 195 1
197 203 200 1
198 204 202 1
199 193 197 1
200 206 204 1
201 195 199 1
202 208 206 1
203 197 201 1
204 198 203 1
205 211 208 1
206 200 205 1
207 213 210 1
208 202 207 1
209 215 212 1
210 180 179 1
211 205 209 1
212 182 183 1
213 207 211 1
214 184 187 1
215 209 213 1
