N 4
site partner identity births_at_site
0 16 0 1
1 17 2 1
2 18 4 1
3 19 6 1
4 20 8 1
5 21 10 1
6 22 12 1
7 23 14 1
8 24 16 1
9 25 18 1
10 26 20 1
11 27 22 1
12 28 24 1
13 29 26 1
14 30 28 1
15 31 30 1
16 0 1 1
17 1 3 1
18 2 5 1
19 3 7 1
20 4 9 1
21 5 11 1
22 6 13 1
23 7 15 1
24 8 17 1
25 9 19 1
26 10 21 1
27 11 23 1
28 12 25 1
29 13 27 1
30 14 29 1
31 15 31 1
32 48 32 1
33 49 34 1
34 50 36 1
35 51 38 1
36 52 40 1
37 53 42 1
38 54 44 1
39 55 46 1
40 56 48 1
41 57 50 1
42 58 52 1
43 59 54 1
44 60 56 1
45 61 58 1
46 62 60 1
47 63 62 1
48 32 33 1
49 33 35 1
50 34 37 1
51 35 39 1
52 36 41 1
53 37 43 1
54 38 45 1
55 39 47 1
56 40 49 1
57 41 51 1
58 42 53 1
59 43 55 1
60 44 57 1
61 45 59 1
62 46 61 1
63 47 63 1
