N 4
site partner identity births_at_site
0 -1 -1 0
1 5 0 1
2 6 2 1
3 7 4 1
4 -1 -1 0
5 1 1 1
6 2 3 1
7 3 5 1
8 12 6 1
9 13 8 1
10 14 10 1
11 15 12 1
12 8 7 1
13 9 9 1
14 10 11 1
15 11 13 1
16 20 14 1
17 21 16 1
18 22 18 1
19 23 20 1
20 16 15 1
21 17 17 1
22 18 19 1
23 19 21 1
24 28 22 1
25 29 24 1
26 30 26 1
27 31 28 1
28 24 23 1
29 25 25 1
30 26 27 1
31 27 29 1
32 36 30 1
33 37 32 1
34 38 34 1
35 39 36 1
36 32 31 1
37 33 33 1
38 34 35 1
39 35 37 1
40 44 38 1
41 45 40 1
42 46 42 1
43 47 44 1
44 40 39 1
45 41 41 1
46 42 43 1
47 43 45 1
48 52 46 1
49 53 48 1
50 54 50 1
51 55 52 1
52 48 47 1
53 49 49 1
54 50 51 1
55 51 53 1
56 60 54 1
57 61 56 1
58 62 58 1
59 63 60 1
60 56 55 1
61 57 57 1
62 58 59 1
63 59 61 1
